network,station,channel,latitude,longitude,elevation
TO,CC01,HHZ,35.933701,-121.468201,55.0
TO,CC02,HHZ,36.0089,-121.449501,831.0
TO,CC03,HHZ,35.997398,-121.381104,464.0
TO,CC04,HHZ,36.0163,-121.249702,337.0
TO,CC05,HHZ,36.024899,-121.171799,347.0
TO,CC06,HHZ,35.9837,-121.115097,366.0
TO,CC07,HHZ,35.974602,-121.054298,398.0
TO,CC08,HHZ,35.992199,-120.961197,293.0
TO,CC09,HHZ,36.024899,-120.889297,194.0
TO,CC10,HHZ,36.0457,-120.823898,225.0
TO,CC11,HHZ,36.064999,-120.752899,356.0
TO,CC12,HHZ,36.064301,-120.628799,694.0
TO,CC13,HHZ,36.121101,-120.617599,570.0
TO,CC14,HHZ,36.131401,-120.539001,610.0
TO,CC15,HHZ,36.099201,-120.443497,295.0
TO,CC16,HHZ,36.126701,-120.370598,210.0
TO,CC17,HHZ,36.194199,-120.342598,251.0
TO,CC18,HHZ,36.176701,-120.238098,154.0
TO,CC19,HHZ,36.1348,-120.164902,146.0
TO,CC20,HHZ,36.209499,-120.105301,107.0
TO,CC21,HHZ,36.226898,-119.994499,81.0
TO,CC22,HHZ,36.249298,-119.941597,72.0
TO,CC23,HHZ,36.248901,-119.855103,57.0
TO,CC24,HHZ,36.251301,-119.800797,56.0
TO,CC25,HHZ,36.257599,-119.720299,56.0
TO,CC26,HHZ,36.278999,-119.637398,58.0
TO,CC27,HHZ,36.285999,-119.566101,64.0
TO,CC28,HHZ,36.298401,-119.489098,70.0
TO,CC29,HHZ,36.298698,-119.420898,103.0
TO,CC30,HHZ,36.310001,-119.3423,105.0
TO,CC31,HHZ,36.318298,-119.274101,93.0
TO,CC32,HHZ,36.3326,-119.193398,112.0
TO,CC33,HHZ,36.3442,-119.122398,126.0
TO,CC34,HHZ,36.360001,-119.057899,173.0
TO,CC35,HHZ,36.375599,-119.005699,194.0
TO,CC36,HHZ,36.389301,-118.961998,265.0
TO,CC37,HHZ,36.387798,-118.899498,654.0
TO,CC38,HHZ,36.382198,-118.841202,755.0
